Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Дида — вратарская перчатка Nike с автографом;Вратарская перчатка Nike с автографом Диды;Дида — бразильский вратарь «Милана», дважды побеждавший в Лиге чемпионов в составе клуба (2003, 2007) и входивший в состав сборной Бразилии, выигравшей чемпионат мира 2002 года. Вратарская перчатка — редкий для частных коллекций тип экспоната: единственный предмет экипировки, которым вратарь играет непосредственно руками, а значит, самый личный элемент его формы. Представленная перчатка Nike подписана лично Дидой. Международная сертификация подлинности: Icons.;180000;RUB;Icons;ВРАТАРИ;;https://i.ebayimg.com/images/g/tcEAAeSwpHRqBuVt/s-l225.jpg;166.55;https://www.ebay.com/itm/127862309519?_skw=glove&hash=item1dc530028f:g:tcEAAeSwpHRqBuVt&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZMLkTrBiVXwJ7M8vkeTi7uh36j2reI4ZlY2ZKiGD9BQDhoM5sm8HHdqnbDZFKkIhLALirjOc01dJ1nPV5VcU6Gg9N4wYWKqRyHvs5XSf96WXRWWIs77WjYv8NE%2FjEAkIID%2FlRp87LrOFv%2F9cGvgOr9jgviL8X2VWdCR6dWQQi8ktBDjiADCmXHvPwsD4cyIMqXOIUAFBl1exVBMDLDTpSLwRMPxuITeGevjD9IaEboesba3q8Mnk6O2bsSnQhKgVER5oU4B272fzqDclPYA5dn;Крупный план перчатки с автографом на ладони, общий план перчатки целиком, рядом — архивный кадр Диды в форме «Милана».
Йенс Леманн — вратарская перчатка Adidas с автографом;Вратарская перчатка Adidas с автографом Йенса Леманна;Йенс Леманн — вратарь сборной Германии и «Арсенала», в составе которого в сезоне 2003/04 прошёл весь чемпионат Англии без единого поражения — этот состав вошёл в историю английского футбола как «Непобедимые». Вратарская перчатка — один из редчайших типов предметов в футбольных коллекциях: единственный элемент экипировки, которым голкипер играет руками, что делает его самым личным предметом вратарской формы. Представленная перчатка Adidas белого цвета подписана лично Леманном. Международная сертификация подлинности: Icons.;160000;RUB;Icons;ВРАТАРИ;;https://i.ebayimg.com/images/g/cSQAAeSw8oNqBuUn/s-l225.jpg;141.23;https://www.ebay.com/itm/364521087689?_skw=glove&hash=item54df2662c9:g:cSQAAeSw8oNqBuUn;Крупный план перчатки с автографом, общий план перчатки целиком на светлом фоне, рядом — архивный кадр Леманна в форме «Арсенала».
Фабио Каннаваро — футболка сборной Италии образца ЧМ-2006 с автографом;Футболка сборной Италии ЧМ-2006 с автографом Каннаваро;Фабио Каннаваро возглавлял сборную Италии на чемпионате мира 2006 года и поднял Кубок мира как капитан команды-победителя. В том же году он был признан лучшим футболистом мира и обладателем «Золотого мяча» — единственный защитник за сорок лет, удостоенный этого звания. Представленная домашняя футболка сборной Италии образца турнира 2006 года подписана лично Каннаваро. Международная сертификация подлинности: Beckett/BAS.;250000;RUB;Beckett/BAS;ЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/pA8AAeSwGGJqRYt5/s-l500.webp;350;https://www.ebay.com/itm/398129650430;Общий план футболки, крупный план подписи на груди, рядом — архивный кадр Каннаваро с Кубком мира 2006 года.
Фабио Каннаваро — футболка «Реал Мадрида» с автографом;Футболка «Реал Мадрида» с автографом Фабио Каннаваро;Фабио Каннаваро — единственный защитник за последние сорок лет, ставший обладателем «Золотого мяча» (2006), и капитан сборной Италии, выигравшей в том же году чемпионат мира. После триумфа со сборной он перешёл в «Реал Мадрид», где провёл несколько сезонов в статусе одного из ведущих защитников клуба. Представленная футболка «Реал Мадрида» подписана лично Каннаваро. Международная сертификация подлинности: Beckett/BAS.;250000;RUB;Beckett/BAS;ЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/Vc0AAOSwb05ncNIH/s-l500.webp;334.98;https://www.ebay.com/itm/156608309381;Общий план футболки «Реал Мадрида» с автографом, крупный план подписи, рядом — архивный кадр Каннаваро в форме клуба.
Фабио Каннаваро — домашняя футболка сборной Италии №5 с автографом;Домашняя футболка сборной Италии №5 с автографом Каннаваро;Фабио Каннаваро — обладатель «Золотого мяча» 2006 года, единственный защитник, удостоенный этой награды за последние сорок лет. В том же году он был капитаном сборной Италии, выигравшей чемпионат мира в Германии. Представленная домашняя футболка сборной с номером 5 — тем самым, под которым Каннаваро выходил на поле, — подписана лично игроком. Международная сертификация подлинности: Beckett/BAS.;250000;RUB;Beckett/BAS;ЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/XB4AAeSwjKBqRPmR/s-l500.webp;250;https://www.ebay.com/itm/398127678653;Общий план футболки с номером 5, крупный план автографа, рядом — архивный кадр Каннаваро в форме сборной Италии.
Кафу — мяч сборной Бразилии с автографом;Единственный, кто играл в трёх финалах мира;Маркос Эванжелиста ди Морайс, Кафу, — единственный футболист в истории, вышедший на поле в трёх финалах чемпионата мира подряд: 1994, 1998 и 2002 годов. Дважды чемпион мира, в 2002 году он поднимал Кубок мира как капитан сборной Бразилии, а всего провёл за неё 142 матча — рекорд, державшийся десятилетиями. Правый защитник, задавший стандарт игры своей позиции на два поколения вперёд, он остаётся одной из самых узнаваемых фигур бразильского футбола рубежа веков. Официальный мяч сборной Бразилии с его автографом — предмет, который в экспозиции сразу считывается и по имени, и по национальной принадлежности. Международная сертификация подлинности: JSA.;250000;RUB;JSA;ЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/D-8AAeSw0XBqZOss/s-l1600.jpg;249.99;https://www.ebay.com/itm/168563219041;Мяч на подставке, три ракурса по кругу, обязательно кадр с эмблемой CBF в одной композиции с автографом. Отдельный макрокадр подписи. Показать ярлык JSA. Рядом — архивный кадр Кафу с Кубком мира на подиуме в Иокогаме, 30 июня 2002 года.
Кафу — футболка «Милан» сезона 2006/07 с автографом;Выездная форма победного сезона Лиги чемпионов;Кафу перешёл в «Милан» в 2003 году и провёл в клубе пять сезонов, выиграв чемпионат Италии и Лигу чемпионов. Выездная футболка сезона 2006/07 относится ровно к тому розыгрышу, который «Милан» завершил победой в финале над «Ливерпулем» в Афинах — реванш за поражение в Стамбуле двумя годами ранее. Для собрания это клубная глава карьеры футболиста, известного прежде всего по сборной Бразилии, и потому предмет хорошо работает в паре с бразильскими экспонатами, а не дублирует их. Привязка формы к конкретному сезону и конкретному турниру — то, что отличает музейный предмет от просто подписанной футболки. Международная сертификация подлинности: Beckett.;250000;RUB;Beckett;ЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/YtIAAOSwQIFoDBI8/s-l1600.jpg;209.37;https://www.ebay.com/itm/316716593726;Фронтальный кадр футболки целиком, крупно — клубный герб и нашивки сезона, если они есть. Отдельный макрокадр автографа. Обязательно снять бирку с указанием сезона и размера — она подтверждает датировку. Кадр карточки Beckett COA. Архивным сопровождением — фотография финала Лиги чемпионов 2007 года в Афинах или Кафу с трофеем.
Паоло Мальдини — футболка сборной Италии с автографом;Футболка сборной Италии с автографом Паоло Мальдини;Паоло Мальдини — один из величайших защитников в истории футбола, четверть века (1984–2009) отдавший «Милану», где провёл более 900 матчей и был капитаном команды. В составе сборной Италии он провёл 126 встреч и дважды выходил в финалы крупнейших турниров — чемпионата мира 1994 года и чемпионата Европы 2000 года. Представленная футболка сборной Италии подписана лично Мальдини. Международная сертификация подлинности: Beckett.;240000;RUB;Beckett;ЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/7hIAAeSwQUtqSoYc/s-l500.webp;295.25;https://www.ebay.com/itm/206385999361;Общий план футболки с автографом в кадре, крупный план подписи, рядом — архивный кадр Мальдини в форме сборной Италии.
Паоло Мальдини — гостевая футболка «Милана» №3 с автографом;Гостевая футболка «Милана» №3 с автографом Мальдини;Паоло Мальдини провёл в «Милане» 25 сезонов подряд — редчайший случай верности одному клубу на высшем уровне мирового футбола. За эти годы он пять раз побеждал в Кубке европейских чемпионов и Лиге чемпионов, войдя в историю игры как эталон защитника. Представленная гостевая футболка с номером 3 — тем самым, под которым Мальдини выступал за клуб на протяжении всей карьеры, — подписана лично игроком в присутствии свидетеля. Международная сертификация подлинности: Beckett Witnessed.;240000;RUB;Beckett Witnessed;ЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/VX0AAeSwiWlnvwK9/s-l500.webp;297.49;https://www.ebay.com/itm/388002009100;Общий план футболки с видимым номером 3 и автографом, крупный план подписи, дополнительный архивный кадр Мальдини в форме «Милана».
Джон Терри — домашняя футболка «Челси» с автографом (2004/05);Домашняя форма «Челси», автограф, сезон 2004/05;Джон Терри — воспитанник академии «Челси» и многолетний капитан клуба, с которым выиграл Лигу чемпионов и несколько чемпионских титулов Англии. Представленная домашняя футболка относится к сезону 2004/05 годов — первому чемпионскому сезону «Челси» под руководством Жозе Моуринью, когда клуб впервые за полвека выиграл титул чемпиона Англии. Подпись нанесена на оригинальном игровом комплекте той эпохи. Международная сертификация подлинности: Beckett/BAS.;220000;RUB;Beckett/BAS;ЗАЩИТНИКИ;;;249.91;;⚠ ЭКСПОНАТ УЖЕ У НАС НА СКЛАДЕ — фото снять с нашего экземпляра. Крупный план автографа, общий вид домашней формы «Челси» сезона 2004/05 спереди и сзади, архивный кадр Терри с капитанской повязкой.
Роберто Карлос — футболка «Реал Мадрид» с автографом;Чёрная форма «Реала» с автографом Роберто Карлоса;Роберто Карлос — один из сильнейших левых защитников в истории футбола, многолетний игрок «Реал Мадрид» и чемпион мира 2002 года в составе сборной Бразилии. Его удар со штрафного в ворота сборной Франции в 1997 году, известный как удар-«банан» за необычную траекторию полёта мяча, стал одним из самых узнаваемых эпизодов в истории игры. Представленная футболка чёрного цвета несёт личную подпись футболиста и относится к периоду его выступлений за мадридский клуб. Международная сертификация подлинности: Beckett/BAS.;220000;RUB;Beckett/BAS;ЗАЩИТНИКИ;;;162.66;;⚠ ЭКСПОНАТ УЖЕ У НАС НА СКЛАДЕ — фото снять с нашего экземпляра. Крупный план автографа на чёрной футболке, общий вид спереди и сзади, архивный кадр Роберто Карлоса в форме «Реала».
Павел Недвед — футболка «Ювентус» с автографом, № 11;Форма «Ювентуса», номер 11, автограф Недведа;Павел Недвед — обладатель «Золотого мяча» 2003 года, получивший от журналистов прозвище «Чешская пушка» за мощь удара и неутомимую игру на протяжении всего поля. Представленная футболка относится к «Ювентусу» — клубу, в составе которого Недвед провёл наиболее успешный отрезок карьеры и был удостоен главной индивидуальной награды европейского футбола. Номер 11 на футболке соответствует амплуа, в котором Недвед выступал за туринский клуб. Международная сертификация подлинности: Beckett.;250000;RUB;Beckett;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/P04AAeSwKs5qU-CK/s-l500.webp;289;https://www.ebay.com/itm/327258449798;Крупный план автографа рядом с номером 11, общий вид футболки «Ювентуса» спереди и сзади, архивный кадр Недведа в этой форме.
Луиш Фигу — футболка сборной Португалии с автографом (2004);Форма сборной Португалии, автограф, 2004;Луиш Фигу — обладатель «Золотого мяча» 2000 года, чей переход из «Барселоны» в «Реал Мадрид» стал одним из самых резонансных трансферов в истории футбола и обострил многолетнее соперничество двух клубов. Представленная футболка относится к сборной Португалии образца 2004 года — года домашнего чемпионата Европы, в котором команда во главе с Фигу дошла до финала турнира. Подпись нанесена на оригинальном игровом комплекте национальной сборной. Международная сертификация подлинности: Beckett.;250000;RUB;Beckett;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/TUcAAeSwF-xo9vNU/s-l500.webp;278.16;https://www.ebay.com/itm/286889312690;ДЛЯ ПРЕЗЕНТАЦИИ: у этого продавца первое фото — вид спереди, а нужная фотография с автографом на номере — ВТОРАЯ. Брать вторую. На итоговом кадре — крупный план автографа на номере на спине, общий вид футболки спереди и сзади, и, при наличии, архивный кадр Фигу в форме сборной Португалии для контекста.
Андреа Пирло — футболка сборной Италии с автографом;Синяя форма Италии с автографом Пирло;Андреа Пирло — один из наиболее техничных полузащитников своего поколения, чемпион мира 2006 года в составе сборной Италии и двукратный победитель Лиги чемпионов в составе «Милана». Представленная футболка относится к комплекту национальной сборной Италии, с личной подписью футболиста. Пирло определял игру своей команды из глубины поля на протяжении полутора десятилетий на высшем уровне. Международная сертификация подлинности: Beckett/BAS.;250000;RUB;Beckett/BAS;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/iyAAAeSwt25qUMZk/s-l500.webp;269.99;https://www.ebay.com/itm/336681661443;Крупный план автографа, общий вид синей формы сборной Италии спереди и сзади, архивный кадр Пирло в составе сборной.
Луиш Фигу — домашняя футболка «Реал Мадрид» с автографом, № 10;Форма «Реала», номер 10, автограф Фигу;Луиш Фигу — обладатель «Золотого мяча» 2000 года, чей переход из «Барселоны» в «Реал Мадрид» летом 2000 года стал одним из самых обсуждаемых событий в истории испанского футбола. Представленная домашняя футболка «Реал Мадрид» с номером 10 несёт личную подпись футболиста и относится к периоду его выступлений за мадридский клуб в составе «Галактикос». Международная сертификация подлинности: Beckett/BAS.;250000;RUB;Beckett/BAS;ПОЛУЗАЩИТНИКИ;;;165.49;;⚠ ЭКСПОНАТ УЖЕ У НАС НА СКЛАДЕ — фото снять с нашего экземпляра. Крупный план подписи рядом с номером 10, общий вид домашней формы «Реал Мадрид» спереди и сзади, архивный кадр Фигу в этой футболке.
Андрес Иньеста — футболка «Барселона» с автографом;Домашняя форма «Барселоны» с автографом Иньесты;Андрес Иньеста — воспитанник академии «Ла Масия» и один из символов золотой эпохи «Барселоны» и сборной Испании конца 2000-х - начала 2010-х годов. Его гол в финале чемпионата мира 2010 года принёс Испании первый в истории титул чемпиона мира. Представленная футболка клуба несёт личную подпись футболиста и отражает период, когда «Барселона» и сборная Испании последовательно выигрывали крупнейшие трофеи мирового футбола. Международная сертификация подлинности: Beckett/BAS.;240000;RUB;Beckett BAS;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/2dcAAeSw6zxqNjTA/s-l500.webp;300;https://www.ebay.com/itm/407014420068;Крупный план подписи, общий вид футболки «Барселоны» спереди и сзади, архивный кадр Иньесты — желательно момент финала чемпионата мира 2010 года — для исторического контекста.
Фрэнк Лэмпард — футболка «Челси» с автографом;Домашняя форма «Челси» Umbro с автографом;Фрэнк Лэмпард — лучший бомбардир «Челси» за всю историю клуба среди полузащитников и один из наиболее титулованных игроков английского футбола своего поколения, выигравший с клубом Лигу чемпионов и несколько чемпионских титулов Англии. Представленная футболка производства Umbro относится к периоду выступлений Лэмпарда за лондонский клуб и несёт его личную подпись. Предмет представляет одну из самых успешных эпох в истории «Челси». Международная сертификация подлинности: Beckett/BAS.;240000;RUB;Beckett/BAS;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/CIkAAeSwTAVqNTYy/s-l500.webp;200;https://www.ebay.com/itm/168473488710;Крупный план подписи на футболке Umbro, общий вид домашней формы «Челси» спереди и сзади, архивный кадр Лэмпарда в этом комплекте.
Пол Скоулз — футболка «Манчестер Юнайтед» с автографом;Домашняя форма МЮ Nike с автографом Скоулза;Пол Скоулз — воспитанник академии «Манчестер Юнайтед», представитель легендарного «золотого поколения» клуба середины 1990-х годов и один из самых титулованных английских футболистов, выигравший с командой множество чемпионских титулов и Лигу чемпионов. Представленная футболка производства Nike несёт личную подпись футболиста и относится к периоду его многолетних выступлений за клуб. Скоулз провёл всю профессиональную карьеру в «Манчестер Юнайтед». Международная сертификация подлинности: Beckett/BAS.;240000;RUB;Beckett/BAS;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/E~kAAeSwK4BqS7oV/s-l500.webp;199.99;https://www.ebay.com/itm/227419511977;Крупный план автографа, общий вид формы МЮ Nike спереди и сзади, архивный кадр Скоулза в игре за клуб.
Кларенс Зеедорф — футболка «Милан» с автографом (2003);Форма «Милана» сезона Лиги чемпионов 2003;Кларенс Зеедорф — единственный футболист в истории, выигравший Лигу чемпионов в составе трёх разных клубов — «Аякса», «Реала» и «Милана». Представленная футболка производства Adidas относится к сезону 2003 года, в котором «Милан» завоевал титул победителя Лиги чемпионов. Предмет несёт личную подпись футболиста и представляет один из самых успешных периодов в истории миланского клуба. Международная сертификация подлинности: BAS.;240000;RUB;BAS;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/JwIAAeSwuMVqFd3q/s-l500.webp;299.99;https://www.ebay.com/itm/358545570615;Крупный план подписи, общий вид формы «Милана» Adidas спереди и сзади, архивный кадр Зеедорфа сезона победного финала Лиги чемпионов 2003 года.
Михаэль Баллак — футболка «Бавария» с автографом (2003/04);Домашняя форма «Баварии» с автографом, сезон 2003/04;Михаэль Баллак — капитан сборной Германии и один из сильнейших полузащитников своего поколения, выступавший за «Баварию», «Байер», «Челси» и сборную страны в финале чемпионата мира 2002 года. Представленная футболка относится к сезону 2003/04 годов — периоду выступлений Баллака за мюнхенский клуб, в составе которого он неоднократно становился чемпионом Германии. Подпись нанесена на оригинальном игровом комплекте эпохи. Международная сертификация подлинности: Beckett.;240000;RUB;Beckett;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/U0YAAeSwCnhqKKXp/s-l500.webp;180;https://www.ebay.com/itm/147363499926;Крупный план автографа, общий вид домашней формы «Баварии» спереди и сзади, архивный кадр Баллака в этой футболке сезона 2003/04.
Михаэль Баллак — футболка сборной Германии с автографом, № 13;Форма сборной Германии, номер 13, автограф;Михаэль Баллак — многолетний капитан сборной Германии, с которой он вышел в финал чемпионата мира 2002 года, и один из самых техничных немецких полузащитников своего времени. Представленная футболка национальной сборной с номером 13 несёт личную подпись футболиста. Баллак определял игру немецкой команды в качестве капитана на протяжении нескольких крупных турниров. Международная сертификация подлинности: Beckett.;240000;RUB;Beckett;ПОЛУЗАЩИТНИКИ;;https://i.ebayimg.com/images/g/S80AAeSwwXVnvwKY/s-l500.webp;297.49;https://www.ebay.com/itm/388002007789;Крупный план подписи рядом с номером 13, общий вид формы сборной Германии спереди и сзади, архивный кадр Баллака в форме национальной команды.
Райан Гиггз — домашняя футболка «Манчестер Юнайтед» с автографом (2005/06);Домашняя форма МЮ, автограф, сезон 2005/06;Райан Гиггз — рекордсмен «Манчестер Юнайтед» по числу титулов, выигравший с клубом 13 чемпионств Англии, и футболист с самым долгим сроком выступлений за одну команду на высшем уровне английского футбола. Представленная домашняя футболка относится к сезону 2005/06 годов, одному из многих в почти двадцатилетней клубной карьере Гиггза в статусе игрока основного состава. Подпись нанесена на оригинальном игровом комплекте эпохи. Международная сертификация подлинности: Beckett/BAS.;240000;RUB;Beckett/BAS;ПОЛУЗАЩИТНИКИ;;;304.35;;⚠ ЭКСПОНАТ УЖЕ У НАС НА СКЛАДЕ — фото снять с нашего экземпляра. Крупный план подписи, общий вид домашней формы МЮ сезона 2005/06 спереди и сзади, архивный кадр Гиггза в игре за клуб.
Алан Ширер — футболка «Ньюкасл Юнайтед» с автографом (1999/2000);Домашняя форма «Ньюкасла», автограф, сезон 1999/2000;Алан Ширер — рекордсмен английской Премьер-лиги по числу забитых мячей, капитан «Ньюкасл Юнайтед» и один из символов клуба на рубеже XX-XXI веков. Представленная футболка относится к сезону 1999/2000 годов, когда Ширер выступал за родной для себя клуб в статусе капитана и лидера атаки. Подпись нанесена на оригинальном комплекте эпохи, определившей репутацию Ширера как одного из самых результативных форвардов в истории лиги. Международная сертификация подлинности: Beckett/BAS.;300000;RUB;Beckett/BAS;НАПАДАЮЩИЕ;;https://i.ebayimg.com/images/g/DJQAAeSwFGdqGAQV/s-l500.webp;243.39;https://www.ebay.com/itm/278030209758;Крупный план автографа, общий вид формы «Ньюкасла» с капитанской повязкой (если видна) спереди и сзади, архивный кадр Ширера в этой футболке сезона 1999/2000.
Мохамед Салах — футболка «Ливерпуль» с автографом;Домашняя форма «Ливерпуля» с автографом Салаха;"Мохамед Салах — рекордсмен английской Премьер-лиги по числу голов среди африканских футболистов и один из лидеров «Ливерпуля», в составе которого выиграл Лигу чемпионов и чемпионский титул Англии. Представленная футболка клуба несёт личную подпись футболиста; автографы Салаха с независимой сертификацией подлинности встречаются на рынке спортивной атрибутики редко. Предмет отражает период доминирования «Ливерпуля» в европейском и английском футболе конца 2010-х - начала 2020-х годов. Международная сертификация подлинности: Beckett/BAS.";300000;RUB;Beckett BAS;НАПАДАЮЩИЕ;;https://i.ebayimg.com/images/g/SvQAAeSwK8xqUFNc/s-l500.webp;500;https://www.ebay.com/itm/407062167411;Крупный план автографа — ключевой элемент экспоната ввиду редкости сертифицированных подписей Салаха, общий вид домашней футболки «Ливерпуля» спереди и сзади, архивный кадр футболиста в этой форме.
Роберто Баджо — футболка сборной Италии с автографом;Домашняя футболка Италии, автограф, № 15;Роберто Баджо — обладатель «Золотого мяча» 1993 года, один из самых узнаваемых нападающих в истории итальянского футбола, вошедший в историю под прозвищем «божественный хвостик». Представленная футболка относится к сборной Италии образца 1990 года, с номером 15 на спине — эпохе, в которую формировался статус Баджо как национальной звезды. Автограф нанесён на подлинном игровом комплекте, отражающем стиль и эстетику итальянской сборной рубежа 1980-х-1990-х годов. Международная сертификация подлинности: Icons.;440000;RUB;Icons;НАПАДАЮЩИЕ;;https://i.ebayimg.com/images/g/a6oAAOSwBAZlQ8sJ/s-l500.webp;995;https://www.ebay.com/itm/256279287980;Крупный план автографа на груди/номере, общий вид футболки Италии спереди и сзади (номер 15), при возможности — архивный кадр Баджо в форме сборной Италии образца 1990 года для исторического контекста.
Эрик Кантона — гостевая футболка «Манчестер Юнайтед» с автографом;Гостевая форма МЮ, автограф, сезон 1993-1995;Эрик Кантона — французский форвард, ставший символом возрождения «Манчестер Юнайтед» в начале 1990-х годов и получивший от болельщиков клуба титул короля Олд Траффорда. Представленная гостевая футболка датируется сезонами 1993-1995 годов — периодом, когда клуб под его влиянием выиграл несколько чемпионских титулов Англии после долгого перерыва. Подпись нанесена на оригинальном комплекте эпохи, ставшей поворотной в новейшей истории клуба. Международная сертификация подлинности: Beckett/BAS.;260000;RUB;Beckett/BAS;НАПАДАЮЩИЕ;;https://i.ebayimg.com/images/g/swwAAeSw1mJooB5J/s-l500.webp;347.7;https://www.ebay.com/itm/277328665459;Крупный план подписи на груди футболки, общий вид гостевой формы МЮ спереди и сзади, рядом — архивный кадр Кантона в этой форме сезона 1993-1995 годов.
Уэйн Руни — домашняя футболка «Манчестер Юнайтед» с автографом (2008);Красная футболка МЮ, автограф, сезон 2008;Уэйн Руни — рекордсмен «Манчестер Юнайтед» по числу забитых голов за всю историю клуба, обладатель титулов чемпиона Англии и победителя Лиги чемпионов в составе команды. Представленная домашняя футболка красного цвета относится к 2008 году — сезону, в котором клуб под руководством Алекса Фергюсона выиграл Лигу чемпионов. Подпись нанесена на игровом комплекте эпохи наивысших достижений Руни в клубной карьере. Международная сертификация подлинности: Beckett/BAS.;250000;RUB;Beckett/BAS;НАПАДАЮЩИЕ;;https://i.ebayimg.com/images/g/kzwAAeSwudBobiQz/s-l500.webp;299.99;https://www.ebay.com/itm/266269434834;Крупный план автографа, общий вид красной домашней футболки МЮ спереди и сзади с номером, архивный кадр Руни в форме клуба сезона 2008 года рядом с экспонатом.
Уэйн Руни — футболка «Манчестер Юнайтед» с автографом (чёрная версия);Чёрная альтернативная футболка МЮ с автографом;Уэйн Руни — один из самых результативных нападающих в истории английского футбола и рекордсмен «Манчестер Юнайтед» по количеству голов за всю историю клуба. Представленный экземпляр — футболка чёрного цвета, альтернативная расцветка комплекта клуба, с личной подписью футболиста. Предмет дополняет собрание атрибутики эпохи Руни в «Манчестер Юнайтед» — клубе, за который он выступал полтора десятилетия. Международная сертификация подлинности: Beckett/BAS.;250000;RUB;Beckett/BAS;НАПАДАЮЩИЕ;;https://i.ebayimg.com/images/g/CaUAAeSwzxVpNa4i/s-l500.webp;299.99;https://www.ebay.com/itm/267504201115;Крупный план подписи на чёрной альтернативной футболке, общий вид спереди и сзади, при наличии — архивный кадр Руни в аналогичной форме.
Букайо Сака — домашняя футболка «Арсенал» с автографом, № 7;Домашняя форма «Арсенала», номер 7, автограф;Букайо Сака — воспитанник академии «Арсенала», ставший одним из ключевых игроков клуба и сборной Англии нового поколения. Представленная домашняя футболка с номером 7 несёт личную подпись футболиста, нанесённую на комплекте, в котором он выступает за лондонский клуб. Предмет представляет современный период истории «Арсенала» и английской Премьер-лиги. Международная сертификация подлинности: Beckett.;250000;RUB;Beckett;НАПАДАЮЩИЕ;;https://i.ebayimg.com/images/g/nwQAAeSwnudo7RAJ/s-l500.webp;424.99;https://www.ebay.com/itm/389885976017;Крупный план автографа рядом с номером 7, общий вид домашней футболки «Арсенала» спереди и сзади, архивный кадр Саки в игре за клуб.
Робин ван Перси — футболка сборной Нидерландов с автографом;Форма сборной Голландии с автографом, 2022/23;Робин ван Перси — многолетний капитан сборной Нидерландов и один из ведущих европейских форвардов своего поколения, выступавший за «Арсенал», «Манчестер Юнайтед» и «Фейеноорд». Представленная футболка относится к комплекту сборной Нидерландов сезона 2022/23 годов, с личной подписью футболиста. Экземпляр дополняет собрание атрибутики, связанной с национальной сборной Голландии. Международная сертификация подлинности: уточняется.;240000;RUB;;НАПАДАЮЩИЕ;;https://i.ebayimg.com/images/g/MHgAAeSwdJpqT~XZ/s-l500.webp;307.7;https://www.ebay.com/itm/336680526935;Крупный план подписи на футболке, общий вид формы сборной Голландии спереди и сзади, архивный кадр ван Перси в форме национальной команды.
Ривалдо — футболка сборной Бразилии с автографом, № 10;Форма сборной Бразилии, номер 10, автограф;Ривалдо — обладатель «Золотого мяча» 1999 года и чемпион мира 2002 года в составе сборной Бразилии, один из ведущих атакующих полузащитников своего поколения. Представленная футболка национальной сборной с номером 10 несёт личную подпись футболиста, засвидетельствованную независимым экспертом. Предмет представляет период, когда Ривалдо входил в число сильнейших игроков мира и являлся частью атакующего трио сборной Бразилии на чемпионате мира 2002 года. Международная сертификация подлинности: Beckett/BAS.;240000;RUB;Beckett/BAS;НАПАДАЮЩИЕ;;;315.74;;⚠ ЭКСПОНАТ УЖЕ У НАС НА СКЛАДЕ — фото снять с нашего экземпляра. Крупный план подписи рядом с номером 10, общий вид формы сборной Бразилии спереди и сзади, архивный кадр Ривалдо в игре за сборную.
Роналдо (R9) и Роналдиньо (R10) — бутса с двойным автографом;Два бразильца, редкий формат двойной подписи;Роналдо Насариу, известный по прозвищу R9, и Роналдиньо, выступавший под номером R10, — два форварда сборной Бразилии, каждый из которых в разное время признавался лучшим футболистом мира. Бутса с автографами обоих игроков представляет собой редкий формат: подписи двух звёзд на одной паре игровой обуви встречаются значительно реже, чем на мячах или футболках. Экспонат подчёркивает преемственность поколений в бразильском футболе конца XX — начала XXI века. Международная сертификация подлинности: Beckett.;500000;RUB;Beckett;БУТСЫ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/FssAAeSwtwhoIxxJ/s-l1600.jpg;999.38;https://www.ebay.com/itm/116601102039;"Бутса с двух сторон, крупный план обеих подписей R9 и R10 рядом; архивный кадр Роналдо и Роналдиньо вместе в форме сборной Бразилии."
Эрлинг Холанд — бутса с автографом (Fanatics BAS);Автограф форварда «Манчестер Сити», двойная сертификация;Эрлинг Холанд — один из самых результативных нападающих современного футбола, установивший ряд бомбардирских рекордов в составе «Манчестер Сити». Жёлтая бутса Nike Mercurial с его личным автографом сопровождается двойным подтверждением подлинности — от компании Fanatics, официального партнёра клуба по мерчандайзингу, и независимого сертификационного бюро BAS. Экспонат завершает представленную в музее линию именных бутс современных звёзд футбола. Международная сертификация подлинности: Fanatics BAS.;360000;RUB;Fanatics BAS;БУТСЫ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/NbMAAOSwJmhmd5Ma/s-l500.webp;550;https://www.ebay.com/itm/156269137706;"Бутса с двух сторон, крупный план автографа и логотипа «Манчестер Сити»; рядом — архивный кадр Холанда в игровой форме клуба."
